strain_pct,seed,clearance_time,n_ruptured,lysis_fraction,mean_fiber_strain_initial,n_fragile_initial,n_total,reason,wall_s
30,3,50.01896124234164,287,0.572,0.3552744175153913,9,500,network_cleared,6.131012916564941
30,4,27.54331170319911,178,0.354,0.3552744175153913,9,500,network_cleared,3.9578869342803955
30,5,38.28698665379039,240,0.478,0.3552744175153913,9,500,network_cleared,5.158447027206421
30,6,32.23744602897329,211,0.42,0.3552744175153913,9,500,network_cleared,4.6418821811676025
30,7,44.8496420239835,268,0.534,0.3552744175153913,9,500,network_cleared,5.7591307163238525
30,8,42.86538719791107,241,0.48,0.3552744175153913,9,500,network_cleared,5.280085563659668
30,9,45.15940219066073,257,0.512,0.3552744175153913,9,500,network_cleared,5.567631006240845
30,10,42.15867063413302,254,0.506,0.3552744175153913,9,500,network_cleared,5.514531373977661
30,11,51.69641614020137,274,0.546,0.3552744175153913,9,500,network_cleared,5.884489297866821
30,12,34.20409511330157,214,0.426,0.3552744175153913,9,500,network_cleared,4.668040037155151
30,13,36.38762117699686,220,0.438,0.3552744175153913,9,500,network_cleared,4.787267684936523
30,14,28.070109324162736,171,0.34,0.3552744175153913,9,500,network_cleared,3.8699746131896973
35,0,43.81896037739954,250,0.498,0.37647213594031675,9,500,network_cleared,5.450472354888916
35,1,39.13781004824529,232,0.462,0.37647213594031675,9,500,network_cleared,5.041031837463379
35,2,46.667451671983756,264,0.526,0.37647213594031675,9,500,network_cleared,5.68947958946228
35,3,50.02397082817739,287,0.572,0.37647213594031675,9,500,network_cleared,6.175931453704834
35,4,24.267706705981762,159,0.316,0.37647213594031675,9,500,network_cleared,3.529172897338867
35,5,38.29065831108473,240,0.478,0.37647213594031675,9,500,network_cleared,5.28109073638916
35,6,32.24023870693272,211,0.42,0.37647213594031675,9,500,network_cleared,4.575370788574219
35,7,42.50646379008352,254,0.506,0.37647213594031675,9,500,network_cleared,5.483502149581909
35,8,42.869464058218874,241,0.48,0.37647213594031675,9,500,network_cleared,5.248176336288452
35,9,45.16374321187546,257,0.512,0.37647213594031675,9,500,network_cleared,5.558182954788208
35,10,42.16255717822956,254,0.506,0.37647213594031675,9,500,network_cleared,5.577370882034302
35,11,51.701674786054134,274,0.546,0.37647213594031675,9,500,network_cleared,5.956698179244995
35,12,47.44304174337454,249,0.496,0.37647213594031675,9,500,network_cleared,5.3791117668151855
35,13,36.39085392352958,220,0.438,0.37647213594031675,9,500,network_cleared,4.819400787353516
35,14,28.072462723271922,171,0.34,0.37647213594031675,9,500,network_cleared,3.779162883758545
40,0,27.648406035143676,190,0.378,0.39767849386156007,9,500,network_cleared,4.226791858673096
40,1,39.13946725731244,232,0.462,0.39767849386156007,9,500,network_cleared,5.035151958465576
40,2,46.66952898667323,264,0.526,0.39767849386156007,9,500,network_cleared,5.809435606002808
40,3,50.02625720175591,287,0.572,0.39767849386156007,9,500,network_cleared,6.120208263397217
40,4,24.268624020620642,159,0.316,0.39767849386156007,9,500,network_cleared,3.5307579040527344
40,5,38.29233402161026,240,0.478,0.39767849386156007,9,500,network_cleared,5.249741792678833
40,6,32.241513245013046,211,0.42,0.39767849386156007,9,500,network_cleared,4.610504627227783
40,7,42.508283266250395,254,0.506,0.39767849386156007,9,500,network_cleared,5.5569329261779785
40,8,42.87132469712726,241,0.48,0.39767849386156007,9,500,network_cleared,5.246077060699463
40,9,45.16572442373299,257,0.512,0.39767849386156007,9,500,network_cleared,5.572053909301758
40,10,42.1643309717835,254,0.506,0.39767849386156007,9,500,network_cleared,5.506600856781006
40,11,51.70407481979299,274,0.546,0.39767849386156007,9,500,network_cleared,5.8979332447052
40,12,47.44507625014366,249,0.496,0.39767849386156007,9,500,network_cleared,5.437251329421997
40,13,36.39232930787212,220,0.438,0.39767849386156007,9,500,network_cleared,5.0295679569244385
40,14,47.09089095471925,250,0.498,0.39767849386156007,9,500,network_cleared,5.407122611999512
50,0,36.66317717901103,231,0.46,0.44010762193321395,9,500,network_cleared,5.0832579135894775
50,1,39.14058781877944,232,0.462,0.44010762193321395,9,500,network_cleared,5.028745889663696
50,2,46.67093362160455,264,0.526,0.44010762193321395,9,500,network_cleared,5.6811745166778564
50,3,35.42516406069793,241,0.48,0.44010762193321395,9,500,network_cleared,5.23613977432251
